epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,506.803,2.40852,6.13215,1.01331,0,0,0,0,0,132.83,0,0.000662069,0.000662069,0.000662069
2,991.692,2.44589,3.20036,1.00487,0,0,0,0,0,77.9078,0,0.00128489,0.00128489,0.00128489
3,1478.45,2.43251,2.11379,1.00269,0,0,0,0,0,116.174,0,0.00186371,0.00186371,0.00186371
4,1957.97,2.34973,1.69416,0.97876,0,0,0,0,0,24.8907,0,0.001802,0.001802,0.001802
5,2433.32,2.31722,1.61061,0.96758,0,0,0,0,0,41.4756,0,0.001736,0.001736,0.001736
6,2915.42,2.25148,1.46361,0.95095,0,0,0,0,0,60.1654,0,0.00167,0.00167,0.00167
7,3391.78,2.30056,1.47996,0.95739,0,0,0,0,0,105.378,0,0.001604,0.001604,0.001604
8,3866.88,2.2162,1.40898,0.94765,0,0,0,0,0,40.7814,0,0.001538,0.001538,0.001538
9,4341.5,2.18304,1.38984,0.944,0,0,0,0,0,39.4357,0,0.001472,0.001472,0.001472
10,4815.08,2.13907,1.3289,0.92582,0,0,0,0,0,204.181,0,0.001406,0.001406,0.001406
11,5313.05,2.13099,1.25963,0.93987,0,0,0,0,0,47.6788,0,0.00134,0.00134,0.00134
12,5802.25,2.07057,1.23398,0.93064,0,0,0,0,0,30.7033,0,0.001274,0.001274,0.001274
13,6286.96,2.11139,1.26539,0.93528,0,0,0,0,0,59.4638,0,0.001208,0.001208,0.001208
14,6775.15,2.07556,1.23368,0.91904,0,0,0,0,0,26.5489,0,0.001142,0.001142,0.001142
15,7258.71,2.02231,1.17841,0.92192,0,0,0,0,0,52.2249,0,0.001076,0.001076,0.001076
16,7744.2,2.02465,1.15235,0.91905,0,0,0,0,0,59.2308,0,0.00101,0.00101,0.00101
17,8270.79,1.98891,1.13123,0.91571,0,0,0,0,0,51.0792,0,0.000944,0.000944,0.000944
18,8790.85,2.01538,1.12498,0.91738,0,0,0,0,0,46.4939,0,0.000878,0.000878,0.000878
19,9282.63,1.9819,1.07951,0.91609,0,0,0,0,0,40.7584,0,0.000812,0.000812,0.000812
20,9773.8,1.94932,1.05583,0.90674,0,0,0,0,0,57.9564,0,0.000746,0.000746,0.000746
21,10264.6,1.86861,1.02712,0.9466,0,0,0,0,0,37.7636,0,0.00068,0.00068,0.00068
22,10756.3,1.8786,0.9958,0.94074,0,0,0,0,0,49.3855,0,0.000614,0.000614,0.000614
23,11243.1,1.82416,0.96139,0.92501,0,0,0,0,0,55.8541,0,0.000548,0.000548,0.000548
24,11728.3,1.78769,0.92839,0.92532,0,0,0,0,0,47.1549,0,0.000482,0.000482,0.000482
25,12217.5,1.78399,0.92024,0.93032,0,0,0,0,0,54.3914,0,0.000416,0.000416,0.000416
26,12703.3,1.7684,0.89115,0.91806,0,0,0,0,0,43.0177,0,0.00035,0.00035,0.00035
27,13185.4,1.74872,0.88455,0.91524,0,0,0,0,0,68.9966,0,0.000284,0.000284,0.000284
28,13669.5,1.73415,0.86876,0.90533,0,0,0,0,0,49.5433,0,0.000218,0.000218,0.000218
29,14156.5,1.72581,0.84075,0.91196,0,0,0,0,0,49.3203,0,0.000152,0.000152,0.000152
30,14637.8,1.68293,0.83776,0.90399,0,0,0,0,0,53.3884,0,8.6e-05,8.6e-05,8.6e-05
